sosa-description_en,sosa-description_fr,commodity-description_en,commodity-description_fr,commodity,supplier-standardized-name,supplier-legal-name,supplier-operating-name,end-user-entity_en,end-user-entity_fr,award-date,expiry-date,delivery-point-code,delivery-point_en,delivery-point_fr,agreement-type_en,agreement-type_fr,agreement-number,date-file-published
"W684H-250264 - RISO - Hazardous Materials Testing and Air Monitoring","W684H-250264 - OÀC - Analyses des matières dangéreuses et surveillance de la qualité de l'air","Asbestos removal or encapsulation","Retrait et décontamination de l'amiante",76101602,"ENGLOBE CORP","Englobe Corp.",,"Department of National Defence","Ministère de la défense nationale",2025-11-25,2026-12-05,CA-NS,"Nova Scotia",Nouvelle-Écosse,RISO,OCIR,CW2429710,"2026-03-12 22:50:06"
"EN578-232335.212.SMS - WinPure Limited (WinPure)","EN578-232335.212.SMS - WinPure Limited (WinPure)","Software, Software maintenance and support","Logiciels, Maintenance et support de logiciel","43230000, 81112200","WINPURE LTD","WINPURE LTD",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2025-11-26,2028-09-29,CA,Canada,Canada,SA,AMA,CW2429859,"2026-03-12 22:50:06"
"ED060-260592 - RISO - Electrical Maintenance Services -JAG bldg","ED060-260592 - OAC - Services d'entretien électrique - Édifice JAG","Electrical system services","Services spécialisés dans les installations électriques",72151500,"ECONOMY ELECTRIC (2020) INC","Economy Electric (2020) Inc.",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2025-11-27,2027-11-30,CA-PE,"Prince Edward Island",Île-du-Prince-Édouard,RISO,OCIR,CW2430095,"2026-03-12 22:50:06"
"W6447-250001 Supply Arrangement for 9206-7586 Quebec Inc-Ilco Tansit","W6447-250001 Arrangement en matière dapprovisionnement pour 9206-7586 Quebec Inc. -Ilco Transit.","Mail and cargo transport","Transport du fret et du courrier",78100000,"9206-7586 QUEBEC INC DBA ILCO TRANSIT","9206-7586 Quebec Inc. DBA Ilco Transit",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2025-12-09,2030-10-31,CA,Canada,Canada,SA,AMA,CW2430184,"2026-03-12 22:50:06"
"W6447-250001 Supply Arrangement for 9206-7586 Quebec Inc-Ilco Tansit","W6447-250001 Arrangement en matière dapprovisionnement pour 9206-7586 Quebec Inc. -Ilco Transit.","Mail and cargo transport","Transport du fret et du courrier",78100000,"9206-7586 QUEBEC INC DBA ILCO TRANSIT","9206-7586 Quebec Inc. DBA Ilco Transit",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2025-12-09,2030-10-31,US,"United States",Étas-Unis,SA,AMA,CW2430184,"2026-03-12 22:50:06"
"W6447-250001 Supply Arrangement for Bacrow Transport Inc.","W6447-250001 Arrangement en matière dapprovisionnement pour Bacrow Transport Inc","Mail and cargo transport","Transport du fret et du courrier",78100000,"BACROW TRANSPORT INC","BACROW TRANSPORT INC",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2025-12-09,2030-10-31,CA,Canada,Canada,SA,AMA,CW2430807,"2026-03-12 22:50:06"
"W6447-250001 Supply Arrangement for Bacrow Transport Inc.","W6447-250001 Arrangement en matière dapprovisionnement pour Bacrow Transport Inc","Mail and cargo transport","Transport du fret et du courrier",78100000,"BACROW TRANSPORT INC","BACROW TRANSPORT INC",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2025-12-09,2030-10-31,US,"United States",Étas-Unis,SA,AMA,CW2430807,"2026-03-12 22:50:06"
"W6447-250001 Supply Arrangement for Earl Hardy Trucking Inc.","W6447-250001 Arrangement en matière dapprovisionnement pour Earl Hardy Trucking Inc","Mail and cargo transport","Transport du fret et du courrier",78100000,"EARL HARDY TRUCKING INC","Earl Hardy Trucking Inc",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2025-12-05,2030-10-31,CA,Canada,Canada,SA,AMA,CW2430978,"2026-03-12 22:50:06"
"W6447-250001 Supply Arrangement for Earl Hardy Trucking Inc.","W6447-250001 Arrangement en matière dapprovisionnement pour Earl Hardy Trucking Inc","Mail and cargo transport","Transport du fret et du courrier",78100000,"EARL HARDY TRUCKING INC","Earl Hardy Trucking Inc",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2025-12-05,2030-10-31,US,"United States",Étas-Unis,SA,AMA,CW2430978,"2026-03-12 22:50:06"
"W6447-250001 Supply Arrangement for 1129609 Ontario Ltd- Jade Transportation Services","W6447-250001 Arrangement en matière dapprovisionnement pour 1129609 Ontario Ltd - Jade Transportation Services","Mail and cargo transport","Transport du fret et du courrier",78100000,"JADE TRANSPORTATION SERVICES","Jade Transportation Services",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2025-12-08,2030-10-31,CA,Canada,Canada,SA,AMA,CW2430999,"2026-03-12 22:50:06"
"W6447-250001 Supply Arrangement for 1129609 Ontario Ltd- Jade Transportation Services","W6447-250001 Arrangement en matière dapprovisionnement pour 1129609 Ontario Ltd - Jade Transportation Services","Mail and cargo transport","Transport du fret et du courrier",78100000,"JADE TRANSPORTATION SERVICES","Jade Transportation Services",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2025-12-08,2030-10-31,US,"United States",Étas-Unis,SA,AMA,CW2430999,"2026-03-12 22:50:06"
"W6447-250001 Supply Arrangement for KIngsmen Haulers Inc.","W6447-250001 Arrangement en matière dapprovisionnement pour Kingsmen Haulers Inc.","Mail and cargo transport","Transport du fret et du courrier",78100000,"KINGSMEN HAULERS INC","Kingsmen Haulers Inc.",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2025-12-04,2030-10-31,CA,Canada,Canada,SA,AMA,CW2431065,"2026-03-12 22:50:06"
"W6447-250001 Supply Arrangement for KIngsmen Haulers Inc.","W6447-250001 Arrangement en matière dapprovisionnement pour Kingsmen Haulers Inc.","Mail and cargo transport","Transport du fret et du courrier",78100000,"KINGSMEN HAULERS INC","Kingsmen Haulers Inc.",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2025-12-04,2030-10-31,US,"United States",Étas-Unis,SA,AMA,CW2431065,"2026-03-12 22:50:06"
"W6447-250001 Supply Arrangement for 9427-9031 Quebec Inc-Deen Express Transport","W6447-250001 Arrangement en matière dapprovisionnement pour 9427-9031 Queebc Inc - Deen Express Transport","Mail and cargo transport","Transport du fret et du courrier",78100000,"9427-9031 QUéBEC INC","9427-9031 Québec inc.",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2025-12-12,2030-10-31,CA,Canada,Canada,SA,AMA,CW2431319,"2026-03-12 22:50:06"
"W6447-250001 Supply Arrangement for 9427-9031 Quebec Inc-Deen Express Transport","W6447-250001 Arrangement en matière dapprovisionnement pour 9427-9031 Queebc Inc - Deen Express Transport","Mail and cargo transport","Transport du fret et du courrier",78100000,"9427-9031 QUéBEC INC","9427-9031 Québec inc.",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2025-12-12,2030-10-31,US,"United States",Étas-Unis,SA,AMA,CW2431319,"2026-03-12 22:50:06"
"W6447-250001 Supply Arrangement for Couture Logistics Inc.","W6447-250001  Arrangement en matière dapprovisionnement pour Couture Logistics Inc","Mail and cargo transport","Transport du fret et du courrier",78100000,"COUTURE LOGISTICS INC","COUTURE LOGISTICS INC",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2025-12-12,2030-10-31,CA,Canada,Canada,SA,AMA,CW2431869,"2026-03-12 22:50:06"
"W6447-250001 Supply Arrangement for Couture Logistics Inc.","W6447-250001  Arrangement en matière dapprovisionnement pour Couture Logistics Inc","Mail and cargo transport","Transport du fret et du courrier",78100000,"COUTURE LOGISTICS INC","COUTURE LOGISTICS INC",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2025-12-12,2030-10-31,US,"United States",Étas-Unis,SA,AMA,CW2431869,"2026-03-12 22:50:06"
"CW2431926-E6MON-260004- Standing offer for bulk road salt - Compass Minerals Canada","CW2431926-E6MON-260004 - Offre à commandes pour sel de voirie en vrac-Compass Minerals Canada",Additives,Additifs,12160000,"COMPASS MINERALS CANADA","Compass Minerals Canada",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2025-12-10,2026-09-30,CA-QC,Quebec,Québec,RMSO,OCPR,CW2431926,"2026-03-12 22:50:06"
"CW2431951-E6MON-260004- Standing offer for bulk road salt - Sel Warwick","CW2431951-E6MON-260004 - Offre à commandes pour sel de voirie en vrac- Sel Warwick",Additives,Additifs,12160000,"SEL WARWICK INC","Sel Warwick Inc.",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2025-12-10,2026-09-30,CA-QC,Quebec,Québec,RMSO,OCPR,CW2431951,"2026-03-12 22:50:06"
"21301-268099 - Standing Offer for various chemical products for the Archambault thermal power plant - Sub-Agreement","21301-268099 - Offre à commandes pour divers produits chimiques pour la centrale thermique d'Archambault - Accord subsidiaire","Indicators and Reagents","Indicateurs et Réactifs",12161500,"JR2 INC","JR2 inc.",,"Correctional Service of Canada","Service correctionnel du Canada",2025-12-11,2026-12-31,CA-QC,Quebec,Québec,RISO,OCIR,CW2432436,"2026-03-12 22:50:06"
"Professional Services (Professional Services). Legacy agreement: ANDREW (EP021-192296/003/FK).","Professional Services (Services professionnels). Ancien accord : ANDREW (EP021-192296/003/FK).","Real estate services","Services immobiliers",80130000,"ANDREW THOMPSON AND ASSOCIATES LTD","ANDREW THOMPSON AND ASSOCIATES LTD",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2019-06-26,2026-03-31,CA,Canada,Canada,SA,AMA,CW2254141,"2026-03-12 22:50:06"
"Professional Services (Professional Services). Legacy agreement: ANTEC APPRAISAL GROUP INC (EP021-192296/004/FK).","Professional Services (Services professionnels). Ancien accord : ANTEC APPRAISAL GROUP INC (EP021-192296/004/FK).","Real estate services","Services immobiliers",80130000,"ANTEC APPRAISAL GROUP INC","Antec Appraisal Group Inc.",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2019-06-27,2026-03-31,CA,Canada,Canada,SA,AMA,CW2254144,"2026-03-12 22:50:06"
"Professional Services (Professional Services). Legacy agreement: A-TECK APPRAISALS LTD (EP021-192296/007/FK).","Professional Services (Services professionnels). Ancien accord : A-TECK APPRAISALS LTD (EP021-192296/007/FK).","Real estate services","Services immobiliers",80130000,"A-TECK APPRAISALS LTD","A-Teck Appraisals Ltd.",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2019-06-27,2026-03-31,CA,Canada,Canada,SA,AMA,CW2254153,"2026-03-12 22:50:06"
"Professional Services (Professional Services). Legacy agreement: BOURASSA JODOIN INC (EP021-192296/008/FK).","Professional Services (Services professionnels). Ancien accord : BOURASSA JODOIN INC (EP021-192296/008/FK).","Real estate services","Services immobiliers",80130000,"BOURASSA JDOIN INC","Bourassa Jdoin Inc",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2019-06-27,2026-03-31,CA,Canada,Canada,SA,AMA,CW2254156,"2026-03-12 22:50:06"
"Professional Services (Professional Services). Legacy agreement: BRADFORD REAL ESTATE SERVICES (EP021-192296/009/FK).","Professional Services (Services professionnels). Ancien accord : BRADFORD REAL ESTATE SERVICES (EP021-192296/009/FK).","Real estate services","Services immobiliers",80130000,"BRADFORD CAPITAL CORPORATION INC","Bradford Capital Corporation Inc.",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2019-06-27,2026-03-31,CA,Canada,Canada,SA,AMA,CW2254159,"2026-03-12 22:50:06"
"Professional Services (Professional Services). Legacy agreement: CAMPBELL & COMPANY APPRAISALS INC (EP021-192296/010/FK).","Professional Services (Services professionnels). Ancien accord : CAMPBELL & COMPANY APPRAISALS INC (EP021-192296/010/FK).","Real estate services","Services immobiliers",80130000,"CAMPBELL & COMPANY APPRAISALS INC","Campbell & Company Appraisals Inc.",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2019-06-27,2026-03-31,CA,Canada,Canada,SA,AMA,CW2254162,"2026-03-12 22:50:06"
"Professional Services (Professional Services). Legacy agreement: CLEO B CONSULTANTS LTD (EP021-192296/012/FK).","Professional Services (Services professionnels). Ancien accord : CLEO B CONSULTANTS LTD (EP021-192296/012/FK).","Real estate services","Services immobiliers",80130000,"CLEO B CONSULTANTS LIMITED","Cleo B Consultants Limited",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2019-06-27,2026-03-31,CA,Canada,Canada,SA,AMA,CW2254168,"2026-03-12 22:50:06"
"Professional Services (Professional Services). Legacy agreement: DALE COMMERCIAL (EP021-192296/013/FK).","Professional Services (Services professionnels). Ancien accord : DALE COMMERCIAL (EP021-192296/013/FK).","Real estate services","Services immobiliers",80130000,"1154211 ALBERTA LTD","1154211 Alberta Ltd.",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2019-06-27,2026-03-31,CA,Canada,Canada,SA,AMA,CW2254171,"2026-03-12 22:50:06"
"Professional Services (Professional Services). Legacy agreement: DONOVAN COLLINS APPRAISALS (EP021-192296/014/FK).","Professional Services (Services professionnels). Ancien accord : DONOVAN COLLINS APPRAISALS (EP021-192296/014/FK).","Real estate services","Services immobiliers",80130000,"DONOVAN COLLINS APPRAISALS","Donovan Collins Appraisals",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2019-06-27,2026-03-31,CA,Canada,Canada,SA,AMA,CW2254174,"2026-03-12 22:50:06"
"Professional Services (Professional Services). Legacy agreement: PACE (EP021-192296/016/FK).","Professional Services (Services professionnels). Ancien accord : PACE (EP021-192296/016/FK).","Real estate services","Services immobiliers",80130000,"ENNS MACEACHERN PACE MALONEY & ASSOCIATES INC","Enns, MacEachern Pace, Maloney & Associates Inc.",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2019-06-27,2026-03-31,CA,Canada,Canada,SA,AMA,CW2254180,"2026-03-12 22:50:06"
"Professional Services (Professional Services). Legacy agreement: FR JORDAN & ASSOCIATES APPRAISAL (EP021-192296/020/FK).","Professional Services (Services professionnels). Ancien accord : FR JORDAN & ASSOCIATES APPRAISAL (EP021-192296/020/FK).","Real estate services","Services immobiliers",80130000,"FRJORDAN & ASSOCIATES APPRAISAL & MANAGEMENT SERVICES (1997) INC","F.R.Jordan & Associates Appraisal & Management Services (1997) Inc.",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2019-06-27,2026-03-31,CA,Canada,Canada,SA,AMA,CW2254192,"2026-03-12 22:50:06"
"Professional Services (Professional Services). Legacy agreement: GETTEL APPRAISALS LTD (EP021-192296/021/FK).","Professional Services (Services professionnels). Ancien accord : GETTEL APPRAISALS LTD (EP021-192296/021/FK).","Real estate services","Services immobiliers",80130000,"GETTEL APPRAISALS LTD","Gettel Appraisals Ltd",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2019-06-27,2026-03-31,CA,Canada,Canada,SA,AMA,CW2254195,"2026-03-12 22:50:06"
"Professional Services (Professional Services). Legacy agreement: GROVER (EP021-192296/022/FK).","Professional Services (Services professionnels). Ancien accord : GROVER (EP021-192296/022/FK).","Real estate services","Services immobiliers",80130000,"GROVER ELLIOTT & CO LTD","Grover, Elliott & Co. Ltd.",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2019-06-27,2026-03-31,CA,Canada,Canada,SA,AMA,CW2254198,"2026-03-12 22:50:06"
"Professional Services (Professional Services). Legacy agreement: HPDG ASSOCIES INC / HPDG ASSOCIATES INC (EP021-192296/023/FK).","Professional Services (Services professionnels). Ancien accord : HPDG ASSOCIES INC / HPDG ASSOCIATES INC (EP021-192296/023/FK).","Real estate services","Services immobiliers",80130000,"HPDG ASSOCIéS INC","HPDG Associés Inc.",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2019-06-27,2026-03-31,CA,Canada,Canada,SA,AMA,CW2254201,"2026-03-12 22:50:06"
"Professional Services (Professional Services). Legacy agreement: CRAIG HENNIGAR (EP021-192296/024/FK).","Professional Services (Services professionnels). Ancien accord : CRAIG HENNIGAR (EP021-192296/024/FK).","Real estate services","Services immobiliers",80130000,"HENNIGAR & ASSOCIATES CONSULTING","Hennigar & Associates Consulting",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2019-06-27,2026-03-31,CA,Canada,Canada,SA,AMA,CW2254204,"2026-03-12 22:50:06"
"Professional Services (Professional Services). Legacy agreement: JUTEAU JOHNSON COMBA INC (EP021-192296/028/FK).","Professional Services (Services professionnels). Ancien accord : JUTEAU JOHNSON COMBA INC (EP021-192296/028/FK).","Real estate services","Services immobiliers",80130000,"JUTEAU JOHNSON COMBA INC","Juteau Johnson Comba Inc",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2019-06-28,2026-03-31,CA,Canada,Canada,SA,AMA,CW2254216,"2026-03-12 22:50:06"
"Professional Services (Professional Services). Legacy agreement: MAKER REAL ESTATE APPRAISALS INC (EP021-192296/032/FK).","Professional Services (Services professionnels). Ancien accord : MAKER REAL ESTATE APPRAISALS INC (EP021-192296/032/FK).","Real estate services","Services immobiliers",80130000,"MAKER REAL ESTATE APPRAISALS INC","Maker Real Estate Appraisals Inc.",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2019-07-01,2026-03-31,CA,Canada,Canada,SA,AMA,CW2254228,"2026-03-12 22:50:06"
"Professional Services (Professional Services). Legacy agreement: METRIX REALTY GROUP (EP021-192296/033/FK).","Professional Services (Services professionnels). Ancien accord : METRIX REALTY GROUP (EP021-192296/033/FK).","Real estate services","Services immobiliers",80130000,"METRIX SOUTHWEST INC","Metrix Southwest Inc.",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2019-07-01,2026-03-31,CA,Canada,Canada,SA,AMA,CW2254231,"2026-03-12 22:50:06"
"Professional Services (Professional Services). Legacy agreement: MICHAEL FOX CONSULTING INC (EP021-192296/034/FK).","Professional Services (Services professionnels). Ancien accord : MICHAEL FOX CONSULTING INC (EP021-192296/034/FK).","Real estate services","Services immobiliers",80130000,"MICHAEL FOX VALUATIONS INC","Michael Fox Valuations Inc",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2019-07-01,2026-03-31,CA,Canada,Canada,SA,AMA,CW2254234,"2026-03-12 22:50:06"
"Professional Services (Professional Services). Legacy agreement: MOBILE RESOURCES (EP021-192296/035/FK).","Professional Services (Services professionnels). Ancien accord : MOBILE RESOURCES (EP021-192296/035/FK).","Real estate services","Services immobiliers",80130000,"MOBILE RESOURCE GROUP INC","Mobile Resource Group Inc.",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2019-07-01,2026-03-31,CA,Canada,Canada,SA,AMA,CW2254237,"2026-03-12 22:50:06"
"Professional Services (Professional Services). Legacy agreement: NICRO REALTY (EP021-192296/036/FK).","Professional Services (Services professionnels). Ancien accord : NICRO REALTY (EP021-192296/036/FK).","Real estate services","Services immobiliers",80130000,"NICRO REALTY CORP","Nicro Realty Corp.",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2019-07-01,2026-03-31,CA,Canada,Canada,SA,AMA,CW2254240,"2026-03-12 22:50:06"
"Professional Services (Professional Services). Legacy agreement: PARIS (EP021-192296/038/FK).","Professional Services (Services professionnels). Ancien accord : PARIS (EP021-192296/038/FK).","Real estate services","Services immobiliers",80130000,"PARIS LADOUCEUR & ASSOCIéS INC","Paris, Ladouceur & Associés inc.",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2019-07-02,2026-03-31,CA,Canada,Canada,SA,AMA,CW2254246,"2026-03-12 22:50:06"
"Professional Services (Professional Services). Legacy agreement: POCRNIC REALTY ADVISORS INC (EP021-192296/040/FK).","Professional Services (Services professionnels). Ancien accord : POCRNIC REALTY ADVISORS INC (EP021-192296/040/FK).","Real estate services","Services immobiliers",80130000,"POCRNIC REALTY ADVISERS PROFESSIONAL CORP","Pocrnic Realty Advisers Professional Corp",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2019-07-02,2026-03-31,CA,Canada,Canada,SA,AMA,CW2254252,"2026-03-12 22:50:06"
"Professional Services (Professional Services). Legacy agreement: RIVINGTON ASSOCIATES COMMERCIAL DIVISION INC (EP021-192296/042/FK).","Professional Services (Services professionnels). Ancien accord : RIVINGTON ASSOCIATES COMMERCIAL DIVISION INC (EP021-192296/042/FK).","Real estate services","Services immobiliers",80130000,"RIVINGTON COMMERCIAL APPRAISERS","Rivington Commercial Appraisers",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2019-07-02,2026-03-31,CA,Canada,Canada,SA,AMA,CW2254258,"2026-03-12 22:50:06"
"Professional Services (Professional Services). Legacy agreement: S RAYNER & ASSOCIATES LTD (EP021-192296/044/FK).","Professional Services (Services professionnels). Ancien accord : S RAYNER & ASSOCIATES LTD (EP021-192296/044/FK).","Real estate services","Services immobiliers",80130000,"S RAYNER & ASSOCIATES LTD","S. Rayner & Associates Ltd.",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2019-07-02,2026-03-31,CA,Canada,Canada,SA,AMA,CW2254264,"2026-03-12 22:50:06"
"Professional Services (Professional Services). Legacy agreement: VERTEX LAND SOLUTIONS INC (EP021-192296/050/FK).","Professional Services (Services professionnels). Ancien accord : VERTEX LAND SOLUTIONS INC (EP021-192296/050/FK).","Real estate services","Services immobiliers",80130000,"VERTEX LAND SOLUTIONS INC","Vertex Land Solutions Inc",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2019-07-02,2026-03-31,CA,Canada,Canada,SA,AMA,CW2254282,"2026-03-12 22:50:06"
"Professional Services (Professional Services). Legacy agreement: BOURGEOIS CHIN ASSOCIATES LTD (EP021-192296/058/FK).","Professional Services (Services professionnels). Ancien accord : BOURGEOIS CHIN ASSOCIATES LTD (EP021-192296/058/FK).","Real estate services","Services immobiliers",80130000,"BOURGEOIS BROOKE CHIN ASSOCIATES","Bourgeois Brooke Chin Associates",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2019-09-26,2026-03-31,CA,Canada,Canada,SA,AMA,CW2254306,"2026-03-12 22:50:06"
"Professional Services (Professional Services). Legacy agreement: CBRE LTD (EP021-192296/060/FK).","Professional Services (Services professionnels). Ancien accord : CBRE LTD (EP021-192296/060/FK).","Real estate services","Services immobiliers",80130000,"CBRE LIMITED","CBRE Limited",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2019-09-26,2026-03-31,CA,Canada,Canada,SA,AMA,CW2254312,"2026-03-12 22:50:06"
"Professional Services (Professional Services). Legacy agreement: CDC INC (EP021-192296/061/FK).","Professional Services (Services professionnels). Ancien accord : CDC INC (EP021-192296/061/FK).","Real estate services","Services immobiliers",80130000,"CDC INC","CDC INC.",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2019-09-26,2026-03-31,CA,Canada,Canada,SA,AMA,CW2254315,"2026-03-12 22:50:06"
"Professional Services (Professional Services). Legacy agreement: DJ PENWARDEN APPRAISALS LTD (EP021-192296/064/FK).","Professional Services (Services professionnels). Ancien accord : DJ PENWARDEN APPRAISALS LTD (EP021-192296/064/FK).","Real estate services","Services immobiliers",80130000,"D J PENWARDEN APPRAISALS LTD","D. J. Penwarden Appraisals Ltd",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2019-09-26,2026-03-31,CA,Canada,Canada,SA,AMA,CW2254324,"2026-03-12 22:50:06"
"Professional Services (Professional Services). Legacy agreement: DELOITTE LLP (EP021-192296/066/FK).","Professional Services (Services professionnels). Ancien accord : DELOITTE LLP (EP021-192296/066/FK).","Real estate services","Services immobiliers",80130000,"DELOITTE LLP","Deloitte LLP",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2019-09-26,2026-03-31,CA,Canada,Canada,SA,AMA,CW2254330,"2026-03-12 22:50:06"
"Professional Services (Professional Services). Legacy agreement: 9252-6508 QUEBEC INC (EP021-192296/067/FK).","Professional Services (Services professionnels). Ancien accord : 9252-6508 QUEBEC INC (EP021-192296/067/FK).","Real estate services","Services immobiliers",80130000,"9252-6508 QUéBEC INC","9252-6508 Québec inc.",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2019-09-26,2026-03-31,CA,Canada,Canada,SA,AMA,CW2254333,"2026-03-12 22:50:06"
"Services professionnel (Professional Services). Legacy agreement: JONES LANG LASALLE SERVICES IMMOBILIERS INC (EP021-192296/074/FK).","Services professionnel (Services professionnels). Ancien accord : JONES LANG LASALLE SERVICES IMMOBILIERS INC (EP021-192296/074/FK).","Real estate services","Services immobiliers",80130000,"JONES LANG LASALLE REAL ESTATE SERVICES INC","Jones Lang LaSalle Real Estate Services, Inc.",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2019-09-27,2026-03-31,CA,Canada,Canada,SA,AMA,CW2254354,"2026-03-12 22:50:06"
"Professional Services (Professional Services). Legacy agreement: NEWMARK KNIGHT FRANK CANADA LTD (EP021-192296/077/FK).","Professional Services (Services professionnels). Ancien accord : NEWMARK KNIGHT FRANK CANADA LTD (EP021-192296/077/FK).","Real estate services","Services immobiliers",80130000,"NEWMARK KNIGHT FRANK CANADA LTD","Newmark Knight Frank Canada Ltd.",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2019-09-27,2026-03-31,CA,Canada,Canada,SA,AMA,CW2254363,"2026-03-12 22:50:06"
"Professional Services (Professional Services). Legacy agreement: QUALITY APPRAISALS INC (EP021-192296/079/FK).","Professional Services (Services professionnels). Ancien accord : QUALITY APPRAISALS INC (EP021-192296/079/FK).","Real estate services","Services immobiliers",80130000,"QUALITY APPRAISALS INC","Quality Appraisals Inc.",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2019-09-27,2026-03-31,CA,Canada,Canada,SA,AMA,CW2254369,"2026-03-12 22:50:06"
"Professional Services (Professional Services). Legacy agreement: SERECON (EP021-192296/081/FK).","Professional Services (Services professionnels). Ancien accord : SERECON (EP021-192296/081/FK).","Real estate services","Services immobiliers",80130000,"SERECON INC","Serecon Inc.",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2019-09-27,2026-03-31,CA,Canada,Canada,SA,AMA,CW2254375,"2026-03-12 22:50:06"
"Professional Services (Professional Services). Legacy agreement: SUNCORP VALUATIONS LTD (EP021-192296/083/FK).","Professional Services (Services professionnels). Ancien accord : SUNCORP VALUATIONS LTD (EP021-192296/083/FK).","Real estate services","Services immobiliers",80130000,"SUNCORP VALUATIONS","Suncorp Valuations",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2019-09-27,2026-03-31,CA,Canada,Canada,SA,AMA,CW2254381,"2026-03-12 22:50:06"
"Professional Services (Professional Services). Legacy agreement: KEYSTONE APPRAISALS INC (EP021-192296/090/FK).","Professional Services (Services professionnels). Ancien accord : KEYSTONE APPRAISALS INC (EP021-192296/090/FK).","Real estate services","Services immobiliers",80130000,"KEYSTONE APPRAISALS INC","Keystone Appraisals Inc.",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2020-06-05,2026-03-31,CA,Canada,Canada,SA,AMA,CW2254402,"2026-03-12 22:50:06"
